eps_xx,sigma_xx_MPa,time,U1_raw
9.31481409e-04,1.85910463e+02,0.199937,1.07261841e-03
9.40216749e-04,1.87259624e+02,0.201813,1.08135375e-03
9.48952205e-04,1.88602250e+02,0.203688,1.09008921e-03
9.57687545e-04,1.89936972e+02,0.205563,1.09882455e-03
9.66422886e-04,1.91263122e+02,0.207438,1.10755989e-03
9.75158226e-04,1.92575072e+02,0.209312,1.11629523e-03
9.83893682e-04,1.93869584e+02,0.211187,1.12503069e-03
9.92629022e-04,1.95145321e+02,0.213062,1.13376603e-03
9.99180527e-04,1.96091830e+02,0.214469,1.14031753e-03
1.00573203e-03,1.97026041e+02,0.215875,1.14686904e-03
1.01555935e-03,1.98401427e+02,0.217984,1.15669635e-03
1.02720647e-03,1.99999552e+02,0.220484,1.16834347e-03
1.03885370e-03,2.01575867e+02,0.222984,1.17999071e-03
1.05050082e-03,2.03122491e+02,0.225484,1.19163783e-03
1.06214795e-03,2.04651903e+02,0.227984,1.20328495e-03
1.07379518e-03,2.06158237e+02,0.230484,1.21493218e-03
1.08544230e-03,2.07641924e+02,0.232984,1.22657930e-03
1.09708942e-03,2.09103189e+02,0.235484,1.23822642e-03
1.10873666e-03,2.10540380e+02,0.237984,1.24987366e-03
1.12038378e-03,2.11953497e+02,0.240484,1.26152078e-03
1.13203090e-03,2.13338622e+02,0.242984,1.27316790e-03
1.14367802e-03,2.14699830e+02,0.245484,1.28481502e-03
1.15532526e-03,2.16029944e+02,0.247984,1.29646226e-03
1.16697238e-03,2.17331023e+02,0.250484,1.30810938e-03
1.17861950e-03,2.18602117e+02,0.252984,1.31975650e-03
1.19026673e-03,2.19842908e+02,0.255484,1.33140374e-03
1.20191385e-03,2.21049570e+02,0.257984,1.34305086e-03
1.21356097e-03,2.22228760e+02,0.260484,1.35469798e-03
1.22520821e-03,2.23379550e+02,0.262984,1.36634521e-03
1.23685533e-03,2.24503979e+02,0.265484,1.37799233e-03
1.24850245e-03,2.25602974e+02,0.267984,1.38963945e-03
1.26014969e-03,2.26679027e+02,0.270484,1.40128669e-03
1.27179681e-03,2.27733248e+02,0.272984,1.41293381e-03
1.28344393e-03,2.28766996e+02,0.275484,1.42458093e-03
1.29509116e-03,2.29781901e+02,0.277984,1.43622817e-03
1.30673828e-03,2.30779458e+02,0.280484,1.44787529e-03
1.31838540e-03,2.31758194e+02,0.282984,1.45952241e-03
1.33003264e-03,2.32720443e+02,0.285484,1.47116964e-03
1.34167976e-03,2.33667406e+02,0.287984,1.48281676e-03
1.35332688e-03,2.34597088e+02,0.290484,1.49446388e-03
1.36497412e-03,2.35512026e+02,0.292984,1.50611112e-03
1.37662124e-03,2.36413874e+02,0.295484,1.51775824e-03
1.38826836e-03,2.37300254e+02,0.297984,1.52940536e-03
1.39991559e-03,2.38173091e+02,0.300484,1.54105260e-03
1.41156271e-03,2.39032203e+02,0.302984,1.55269972e-03
1.42320983e-03,2.39878248e+02,0.305484,1.56434684e-03
1.43485707e-03,2.40712856e+02,0.307984,1.57599407e-03
1.44650419e-03,2.41535143e+02,0.310484,1.58764119e-03
1.45815131e-03,2.42347805e+02,0.312984,1.59928831e-03
1.46979843e-03,2.43149416e+02,0.315484,1.61093543e-03
1.48144567e-03,2.43941763e+02,0.317984,1.62258267e-03
1.49309279e-03,2.44724847e+02,0.320484,1.63422979e-03
1.50473991e-03,2.45499552e+02,0.322984,1.64587691e-03
1.51638714e-03,2.46265742e+02,0.325484,1.65752415e-03
1.52803426e-03,2.47024050e+02,0.327984,1.66917127e-03
1.53968138e-03,2.47774159e+02,0.330484,1.68081839e-03
1.55132862e-03,2.48515957e+02,0.332984,1.69246562e-03
1.56297574e-03,2.49250938e+02,0.335484,1.70411274e-03
1.57462286e-03,2.49978559e+02,0.337984,1.71575986e-03
1.58627010e-03,2.50699589e+02,0.340484,1.72740710e-03
1.59791722e-03,2.51413349e+02,0.342984,1.73905422e-03
1.60956434e-03,2.52120859e+02,0.345484,1.75070134e-03
1.62121157e-03,2.52821212e+02,0.347984,1.76234858e-03
1.63285869e-03,2.53515971e+02,0.350484,1.77399570e-03
1.64450581e-03,2.54204230e+02,0.352984,1.78564282e-03
1.65615305e-03,2.54886986e+02,0.355484,1.79729005e-03
1.66780017e-03,2.55563355e+02,0.357984,1.80893717e-03
1.67944729e-03,2.56234606e+02,0.360484,1.82058429e-03
1.69109453e-03,2.56899787e+02,0.362984,1.83223153e-03
1.70274165e-03,2.57560099e+02,0.365484,1.84387865e-03
1.71438877e-03,2.58214546e+02,0.367984,1.85552577e-03
1.72603600e-03,2.58864689e+02,0.370484,1.86717301e-03
1.73768312e-03,2.59509171e+02,0.372984,1.87882013e-03
1.74933024e-03,2.60148103e+02,0.375484,1.89046725e-03
1.76097736e-03,2.60784409e+02,0.377984,1.90211437e-03
1.77262460e-03,2.61417567e+02,0.380484,1.91376160e-03
1.78427172e-03,2.62044564e+02,0.382984,1.92540872e-03
1.79591884e-03,2.62666625e+02,0.385484,1.93705584e-03
1.80756608e-03,2.63285514e+02,0.387984,1.94870308e-03
1.81921320e-03,2.63899693e+02,0.390484,1.96035020e-03
1.83086032e-03,2.64510317e+02,0.392984,1.97199732e-03
1.84250744e-03,2.65116297e+02,0.395484,1.98364444e-03
1.85415479e-03,2.65719220e+02,0.397984,1.99529179e-03
1.86580191e-03,2.66317999e+02,0.400484,2.00693891e-03
1.87744903e-03,2.66913652e+02,0.402984,2.01858603e-03
1.88909615e-03,2.67506180e+02,0.405484,2.03023315e-03
1.90074327e-03,2.68095289e+02,0.407984,2.04188027e-03
1.91239039e-03,2.68680501e+02,0.410484,2.05352739e-03
1.92403751e-03,2.69263110e+02,0.412984,2.06517451e-03
1.93568486e-03,2.69841958e+02,0.415484,2.07682187e-03
1.94733198e-03,2.70418384e+02,0.417984,2.08846899e-03
1.95897910e-03,2.70991095e+02,0.420484,2.10011611e-03
1.97062622e-03,2.71561429e+02,0.422984,2.11176323e-03
1.98227334e-03,2.72128229e+02,0.425484,2.12341035e-03
1.99392046e-03,2.72692651e+02,0.427984,2.13505747e-03
2.00556782e-03,2.73253654e+02,0.430484,2.14670482e-03
2.01721494e-03,2.73812392e+02,0.432984,2.15835194e-03
2.02886206e-03,2.74367732e+02,0.435484,2.16999906e-03
2.04050918e-03,2.74921216e+02,0.437984,2.18164618e-03
2.05215630e-03,2.75472276e+02,0.440484,2.19329330e-03
2.06380342e-03,2.76020868e+02,0.442984,2.20494042e-03
2.07545077e-03,2.76567127e+02,0.445484,2.21658777e-03
2.08709789e-03,2.77111348e+02,0.447984,2.22823489e-03
2.09874501e-03,2.77654413e+02,0.450484,2.23988201e-03
2.11039213e-03,2.78194807e+02,0.452984,2.25152913e-03
2.12203925e-03,2.78735019e+02,0.455484,2.26317625e-03
2.13368637e-03,2.79273940e+02,0.457984,2.27482338e-03
2.14533372e-03,2.79811706e+02,0.460484,2.28647073e-03
