eps_xx,sigma_xx_MPa,time,U1_raw
9.36060678e-04,8.11123502e+01,0.200062,-2.24278099e-03
9.47757857e-04,8.16814039e+01,0.202562,-2.23108381e-03
9.59455036e-04,8.22426273e+01,0.205062,-2.21938663e-03
9.71151982e-04,8.27966488e+01,0.207563,-2.20768969e-03
9.82849160e-04,8.33439835e+01,0.210063,-2.19599251e-03
9.94546339e-04,8.38849940e+01,0.212563,-2.18429533e-03
1.00624328e-03,8.44200764e+01,0.215062,-2.17259838e-03
1.01794046e-03,8.49493950e+01,0.217562,-2.16090120e-03
1.02963764e-03,8.54731537e+01,0.220062,-2.14920403e-03
1.04133459e-03,8.59917090e+01,0.222563,-2.13750708e-03
1.05303177e-03,8.65053386e+01,0.225063,-2.12580990e-03
1.06472895e-03,8.70144103e+01,0.227563,-2.11411272e-03
1.07642589e-03,8.75192130e+01,0.230062,-2.10241578e-03
1.08812307e-03,8.80198711e+01,0.232562,-2.09071860e-03
1.09982025e-03,8.85166112e+01,0.235062,-2.07902142e-03
1.11151719e-03,8.90098976e+01,0.237563,-2.06732447e-03
1.12321437e-03,8.94999737e+01,0.240063,-2.05562729e-03
1.13491155e-03,8.99870659e+01,0.242563,-2.04393012e-03
1.14660873e-03,9.04712990e+01,0.245063,-2.03223294e-03
1.15830568e-03,9.09528992e+01,0.247562,-2.02053599e-03
1.17000286e-03,9.14320592e+01,0.250062,-2.00883881e-03
1.18170003e-03,9.19089713e+01,0.252562,-1.99714163e-03
1.19339698e-03,9.23837886e+01,0.255062,-1.98544469e-03
1.20509416e-03,9.28567432e+01,0.257562,-1.97374751e-03
1.21679134e-03,9.33281463e+01,0.260062,-1.96205033e-03
1.22848840e-03,9.37981001e+01,0.262563,-1.95035327e-03
1.24018546e-03,9.42668478e+01,0.265063,-1.93865621e-03
1.25188252e-03,9.47345255e+01,0.267563,-1.92695914e-03
1.26357970e-03,9.52012576e+01,0.270063,-1.91526196e-03
1.27527677e-03,9.56673895e+01,0.272563,-1.90356490e-03
1.28697383e-03,9.61329893e+01,0.275063,-1.89186784e-03
1.29867101e-03,9.65981927e+01,0.277562,-1.88017066e-03
1.31036807e-03,9.70631470e+01,0.280062,-1.86847360e-03
1.32206513e-03,9.75277389e+01,0.282562,-1.85677654e-03
1.33376231e-03,9.79920477e+01,0.285062,-1.84507936e-03
1.34545937e-03,9.84562206e+01,0.287562,-1.83338230e-03
1.35715655e-03,9.89203709e+01,0.290062,-1.82168512e-03
1.36885361e-03,9.93845552e+01,0.292563,-1.80998805e-03
1.38055068e-03,9.98489886e+01,0.295063,-1.79829099e-03
1.39224785e-03,1.00313773e+02,0.297563,-1.78659381e-03
1.40394492e-03,1.00778954e+02,0.300063,-1.77489675e-03
1.41564198e-03,1.01244554e+02,0.302563,-1.76319969e-03
1.42733916e-03,1.01710595e+02,0.305063,-1.75150251e-03
1.43903622e-03,1.02177067e+02,0.307563,-1.73980545e-03
1.45073328e-03,1.02643969e+02,0.310062,-1.72810839e-03
1.46243046e-03,1.03111244e+02,0.312562,-1.71641121e-03
1.47412752e-03,1.03578905e+02,0.315062,-1.70471414e-03
1.48582470e-03,1.04046962e+02,0.317562,-1.69301697e-03
1.49752176e-03,1.04515393e+02,0.320062,-1.68131990e-03
1.50921883e-03,1.04984186e+02,0.322562,-1.66962284e-03
1.52091600e-03,1.05453330e+02,0.325063,-1.65792566e-03
1.53261307e-03,1.05922915e+02,0.327563,-1.64622860e-03
1.54431013e-03,1.06392795e+02,0.330063,-1.63453154e-03
1.55600731e-03,1.06862947e+02,0.332563,-1.62283436e-03
1.56770437e-03,1.07333496e+02,0.335063,-1.61113730e-03
1.57940143e-03,1.07804202e+02,0.337563,-1.59944023e-03
1.59109861e-03,1.08275215e+02,0.340062,-1.58774306e-03
1.60279567e-03,1.08746578e+02,0.342562,-1.57604599e-03
1.61449274e-03,1.09218214e+02,0.345062,-1.56434893e-03
1.62618991e-03,1.09690155e+02,0.347562,-1.55265175e-03
1.63788698e-03,1.10162379e+02,0.350062,-1.54095469e-03
1.64958416e-03,1.10635033e+02,0.352562,-1.52925751e-03
1.66128122e-03,1.11107960e+02,0.355063,-1.51756045e-03
1.67297828e-03,1.11581056e+02,0.357563,-1.50586339e-03
1.68467546e-03,1.12054288e+02,0.360063,-1.49416621e-03
1.69637252e-03,1.12527701e+02,0.362563,-1.48246915e-03
1.70806958e-03,1.13001408e+02,0.365063,-1.47077208e-03
1.71976676e-03,1.13475376e+02,0.367563,-1.45907491e-03
1.73146382e-03,1.13949593e+02,0.370063,-1.44737784e-03
1.74316089e-03,1.14423980e+02,0.372562,-1.43568078e-03
1.75485807e-03,1.14898560e+02,0.375062,-1.42398360e-03
1.76655513e-03,1.15373389e+02,0.377562,-1.41228654e-03
1.77825231e-03,1.15848410e+02,0.380062,-1.40058936e-03
1.78994937e-03,1.16323589e+02,0.382562,-1.38889230e-03
