eps_xx,sigma_xx_MPa,time,U1_raw
0.00000000e+00,-1.86945908e-13,0.000000,-1.62806443e-03
2.41410453e-06,4.76902459e-01,0.000500,-1.62565033e-03
4.82809264e-06,8.93272341e-01,0.001000,-1.62323634e-03
8.44919123e-06,1.50804895e+00,0.001750,-1.61961524e-03
1.38807809e-05,2.42710633e+00,0.002875,-1.61418365e-03
2.20281072e-05,3.79645122e+00,0.004562,-1.60603633e-03
3.40982806e-05,5.80909828e+00,0.007062,-1.59396615e-03
4.61684540e-05,7.83809193e+00,0.009562,-1.58189598e-03
5.82385110e-05,9.87400511e+00,0.012063,-1.56982592e-03
7.03086844e-05,1.19056889e+01,0.014562,-1.55775575e-03
8.23788578e-05,1.39316838e+01,0.017063,-1.54568558e-03
9.44490312e-05,1.59530375e+01,0.019562,-1.53361540e-03
1.06519205e-04,1.79708227e+01,0.022062,-1.52154523e-03
1.18589378e-04,1.99859497e+01,0.024563,-1.50947506e-03
1.30659551e-04,2.19990695e+01,0.027062,-1.49740488e-03
1.42729725e-04,2.40108404e+01,0.029562,-1.48533471e-03
1.54799898e-04,2.60215327e+01,0.032063,-1.47326454e-03
1.66870072e-04,2.80314578e+01,0.034562,-1.46119436e-03
1.78940129e-04,3.00408167e+01,0.037062,-1.44912431e-03
1.91010302e-04,3.20497652e+01,0.039563,-1.43705413e-03
2.03080475e-04,3.40584135e+01,0.042062,-1.42498396e-03
2.15150649e-04,3.60668411e+01,0.044562,-1.41291379e-03
2.27220822e-04,3.80751101e+01,0.047063,-1.40084361e-03
2.39290996e-04,4.00832659e+01,0.049562,-1.38877344e-03
2.51361169e-04,4.20913395e+01,0.052063,-1.37670327e-03
2.63431342e-04,4.40993538e+01,0.054563,-1.36463309e-03
2.75501516e-04,4.61073284e+01,0.057062,-1.35256292e-03
2.87571573e-04,4.81152718e+01,0.059563,-1.34049286e-03
2.99641746e-04,5.01231869e+01,0.062062,-1.32842269e-03
3.11711919e-04,5.21310851e+01,0.064562,-1.31635251e-03
3.23782093e-04,5.41389663e+01,0.067062,-1.30428234e-03
3.35852266e-04,5.61468474e+01,0.069563,-1.29221217e-03
3.47922440e-04,5.81547230e+01,0.072062,-1.28014199e-03
3.59992613e-04,6.01625871e+01,0.074562,-1.26807182e-03
3.72062786e-04,6.21704457e+01,0.077063,-1.25600165e-03
3.84132960e-04,6.41782929e+01,0.079563,-1.24393147e-03
3.96203017e-04,6.61861231e+01,0.082062,-1.23186142e-03
4.08273190e-04,6.81939420e+01,0.084563,-1.21979124e-03
4.20343364e-04,7.02017439e+01,0.087063,-1.20772107e-03
4.32413537e-04,7.22095062e+01,0.089562,-1.19565090e-03
4.44483710e-04,7.42172401e+01,0.092063,-1.18358072e-03
4.56553884e-04,7.62249401e+01,0.094563,-1.17151055e-03
4.68624057e-04,7.82325722e+01,0.097062,-1.15944038e-03
4.80694231e-04,8.02401702e+01,0.099563,-1.14737020e-03
4.92764404e-04,8.22477740e+01,0.102063,-1.13530003e-03
5.04834577e-04,8.42552758e+01,0.104562,-1.12322986e-03
5.16904634e-04,8.62626927e+01,0.107063,-1.11115980e-03
5.28974808e-04,8.82700643e+01,0.109563,-1.09908963e-03
5.41044981e-04,9.02772943e+01,0.112062,-1.08701945e-03
5.53115155e-04,9.22843885e+01,0.114562,-1.07494928e-03
5.65185328e-04,9.42913355e+01,0.117063,-1.06287911e-03
5.77255501e-04,9.62979314e+01,0.119562,-1.05080893e-03
5.89325675e-04,9.83040857e+01,0.122062,-1.03873876e-03
6.01395848e-04,1.00309470e+02,0.124563,-1.02666859e-03
6.13466022e-04,1.02313065e+02,0.127062,-1.01459841e-03
6.25536079e-04,1.04314679e+02,0.129562,-1.00252836e-03
6.37606252e-04,1.06313869e+02,0.132062,-9.90458182e-04
6.49676425e-04,1.08309583e+02,0.134563,-9.78388009e-04
6.61746599e-04,1.10298400e+02,0.137063,-9.66317835e-04
6.73816772e-04,1.12278804e+02,0.139563,-9.54247662e-04
6.85886946e-04,1.14247103e+02,0.142063,-9.42177488e-04
6.97957119e-04,1.16199435e+02,0.144562,-9.30107315e-04
7.10027234e-04,1.18129200e+02,0.147062,-9.18037200e-04
7.22097408e-04,1.20030552e+02,0.149562,-9.05967026e-04
7.34167581e-04,1.21902712e+02,0.152063,-8.93896853e-04
7.46237754e-04,1.23746393e+02,0.154563,-8.81826680e-04
7.58307928e-04,1.25562546e+02,0.157063,-8.69756506e-04
7.70378043e-04,1.27351725e+02,0.159562,-8.57686391e-04
7.82448216e-04,1.29118461e+02,0.162062,-8.45616218e-04
7.94518390e-04,1.30864723e+02,0.164562,-8.33546044e-04
8.06588563e-04,1.32588961e+02,0.167063,-8.21475871e-04
8.18658737e-04,1.34292578e+02,0.169563,-8.09405698e-04
8.30728852e-04,1.35976355e+02,0.172063,-7.97335582e-04
8.42799025e-04,1.37641301e+02,0.174562,-7.85265409e-04
8.54869199e-04,1.39287881e+02,0.177062,-7.73195236e-04
8.66939372e-04,1.40916410e+02,0.179562,-7.61125062e-04
8.79009487e-04,1.42527070e+02,0.182063,-7.49054947e-04
8.91079661e-04,1.44119838e+02,0.184563,-7.36984774e-04
9.03149834e-04,1.45693639e+02,0.187063,-7.24914600e-04
9.15220007e-04,1.47248802e+02,0.189562,-7.12844427e-04
9.27290181e-04,1.48785404e+02,0.192062,-7.00774253e-04
9.39360296e-04,1.50302666e+02,0.194562,-6.88704138e-04
9.51430469e-04,1.51800246e+02,0.197063,-6.76633965e-04
9.63500643e-04,1.53277784e+02,0.199563,-6.64563791e-04
9.75570816e-04,1.54734939e+02,0.202063,-6.52493618e-04
9.87640989e-04,1.56171587e+02,0.204563,-6.40423445e-04
9.99711105e-04,1.57587602e+02,0.207062,-6.28353329e-04
1.01178128e-03,1.58983009e+02,0.209562,-6.16283156e-04
1.02385145e-03,1.60357681e+02,0.212062,-6.04212983e-04
1.03592162e-03,1.61711246e+02,0.214563,-5.92142809e-04
1.04799174e-03,1.63044451e+02,0.217063,-5.80072694e-04
1.06006191e-03,1.64357047e+02,0.219563,-5.68002521e-04
1.07213209e-03,1.65647629e+02,0.222062,-5.55932347e-04
1.08420226e-03,1.66916696e+02,0.224562,-5.43862174e-04
1.09627243e-03,1.68164089e+02,0.227062,-5.31792000e-04
1.10834255e-03,1.69389582e+02,0.229563,-5.19721885e-04
1.12041272e-03,1.70592779e+02,0.232063,-5.07651712e-04
1.13248290e-03,1.71773441e+02,0.234563,-4.95581538e-04
1.14455307e-03,1.72930879e+02,0.237062,-4.83511365e-04
1.15662321e-03,1.74065294e+02,0.239562,-4.71441221e-04
1.16869339e-03,1.75176100e+02,0.242062,-4.59371047e-04
1.18076353e-03,1.76261835e+02,0.244563,-4.47300903e-04
1.19283370e-03,1.77325274e+02,0.247063,-4.35230730e-04
1.20490385e-03,1.78363211e+02,0.249563,-4.23160585e-04
1.21697402e-03,1.79376293e+02,0.252062,-4.11090412e-04
1.22904420e-03,1.80364938e+02,0.254562,-3.99020239e-04
1.24111434e-03,1.81328218e+02,0.257062,-3.86950094e-04
1.25318451e-03,1.82266506e+02,0.259562,-3.74879921e-04
1.26525466e-03,1.83180176e+02,0.262062,-3.62809777e-04
1.27732483e-03,1.84070168e+02,0.264562,-3.50739603e-04
1.28939498e-03,1.84936166e+02,0.267062,-3.38669459e-04
1.30146515e-03,1.85778315e+02,0.269563,-3.26599285e-04
1.31353532e-03,1.86596798e+02,0.272063,-3.14529112e-04
1.32560547e-03,1.87392316e+02,0.274563,-3.02458968e-04
1.33767564e-03,1.88165820e+02,0.277063,-2.90388794e-04
1.34974578e-03,1.88917436e+02,0.279563,-2.78318650e-04
1.36181596e-03,1.89647502e+02,0.282063,-2.66248477e-04
1.37388610e-03,1.90357605e+02,0.284562,-2.54178332e-04
1.38595628e-03,1.91044732e+02,0.287062,-2.42108159e-04
1.39802643e-03,1.91713220e+02,0.289562,-2.30038000e-04
1.41009659e-03,1.92361302e+02,0.292062,-2.17967841e-04
1.42216675e-03,1.92990564e+02,0.294562,-2.05897682e-04
1.43423692e-03,1.93601980e+02,0.297062,-1.93827509e-04
1.44630708e-03,1.94196184e+02,0.299563,-1.81757350e-04
1.45837724e-03,1.94773833e+02,0.302063,-1.69687191e-04
1.47044740e-03,1.95335900e+02,0.304563,-1.57617033e-04
1.48251756e-03,1.95882725e+02,0.307063,-1.45546874e-04
1.49458772e-03,1.96414535e+02,0.309563,-1.33476715e-04
1.50665789e-03,1.96931578e+02,0.312063,-1.21406549e-04
1.51872804e-03,1.97434490e+02,0.314562,-1.09336390e-04
1.53079821e-03,1.97923632e+02,0.317062,-9.72662237e-05
1.54286837e-03,1.98399616e+02,0.319562,-8.51960649e-05
