eps_xx,sigma_xx_MPa,time,U1_raw
9.58111665e-04,1.61775645e+02,0.198938,9.41967475e-04
9.70152036e-04,1.63748405e+02,0.201438,9.54007846e-04
9.82192407e-04,1.65719977e+02,0.203938,9.66048217e-04
9.94232778e-04,1.67690178e+02,0.206437,9.78088588e-04
1.00627315e-03,1.69658817e+02,0.208937,9.90128960e-04
1.01831352e-03,1.71625700e+02,0.211437,1.00216933e-03
1.03035389e-03,1.73590636e+02,0.213938,1.01420970e-03
1.04239426e-03,1.75553284e+02,0.216438,1.02625007e-03
1.05443452e-03,1.77513486e+02,0.218938,1.03829033e-03
1.06647489e-03,1.79471368e+02,0.221437,1.05033070e-03
1.07851526e-03,1.81425897e+02,0.223937,1.06237107e-03
1.09055563e-03,1.83376338e+02,0.226437,1.07441144e-03
1.10259600e-03,1.85322454e+02,0.228938,1.08645181e-03
1.11463637e-03,1.87264176e+02,0.231438,1.09849218e-03
1.12667674e-03,1.89199715e+02,0.233938,1.11053255e-03
1.13871711e-03,1.91129570e+02,0.236437,1.12257292e-03
1.15075749e-03,1.93053230e+02,0.238937,1.13461330e-03
1.16279786e-03,1.94970119e+02,0.241437,1.14665367e-03
1.17483823e-03,1.96879489e+02,0.243938,1.15869404e-03
1.18687848e-03,1.98780094e+02,0.246438,1.17073429e-03
1.19891885e-03,2.00671346e+02,0.248938,1.18277466e-03
1.21095922e-03,2.02551320e+02,0.251437,1.19481503e-03
1.22299960e-03,2.04418769e+02,0.253938,1.20685541e-03
1.23503997e-03,2.06271769e+02,0.256438,1.21889578e-03
1.24708034e-03,2.08107354e+02,0.258938,1.23093615e-03
1.25912071e-03,2.09925952e+02,0.261438,1.24297652e-03
1.27116108e-03,2.11725119e+02,0.263938,1.25501689e-03
1.28320145e-03,2.13504696e+02,0.266438,1.26705726e-03
1.29524182e-03,2.15264615e+02,0.268937,1.27909763e-03
1.30728219e-03,2.17004490e+02,0.271437,1.29113800e-03
1.31932245e-03,2.18720835e+02,0.273937,1.30317826e-03
1.33136282e-03,2.20410275e+02,0.276437,1.31521863e-03
1.34340319e-03,2.22072266e+02,0.278937,1.32725900e-03
1.35544356e-03,2.23708755e+02,0.281437,1.33929937e-03
1.36748393e-03,2.25320129e+02,0.283938,1.35133974e-03
1.37952430e-03,2.26906499e+02,0.286438,1.36338011e-03
1.39156467e-03,2.28466803e+02,0.288938,1.37542048e-03
1.40360505e-03,2.30003031e+02,0.291438,1.38746086e-03
1.41564542e-03,2.31515639e+02,0.293938,1.39950123e-03
1.42768579e-03,2.33007343e+02,0.296438,1.41154160e-03
1.43972616e-03,2.34480838e+02,0.298937,1.42358197e-03
1.45176641e-03,2.35933769e+02,0.301437,1.43562222e-03
1.46380678e-03,2.37368559e+02,0.303937,1.44766259e-03
1.47584716e-03,2.38784779e+02,0.306437,1.45970297e-03
1.48788753e-03,2.40183288e+02,0.308937,1.47174334e-03
1.49992790e-03,2.41563498e+02,0.311437,1.48378371e-03
1.51196827e-03,2.42926269e+02,0.313937,1.49582408e-03
1.52400864e-03,2.44272145e+02,0.316438,1.50786445e-03
1.53604901e-03,2.45600175e+02,0.318938,1.51990482e-03
1.54808938e-03,2.46909634e+02,0.321438,1.53194519e-03
1.56012975e-03,2.48200839e+02,0.323938,1.54398556e-03
1.57217012e-03,2.49472726e+02,0.326438,1.55602593e-03
1.58421038e-03,2.50725136e+02,0.328938,1.56806619e-03
1.59625075e-03,2.51957593e+02,0.331437,1.58010656e-03
1.60829112e-03,2.53167697e+02,0.333937,1.59214693e-03
1.62033149e-03,2.54357350e+02,0.336437,1.60418730e-03
1.63237186e-03,2.55523428e+02,0.338937,1.61622767e-03
1.64441223e-03,2.56666631e+02,0.341437,1.62826804e-03
1.65645260e-03,2.57785465e+02,0.343937,1.64030842e-03
1.66849298e-03,2.58878663e+02,0.346438,1.65234879e-03
1.68053335e-03,2.59946472e+02,0.348938,1.66438916e-03
1.69257372e-03,2.60987580e+02,0.351438,1.67642953e-03
1.70461409e-03,2.62002576e+02,0.353938,1.68846990e-03
1.71665434e-03,2.62991685e+02,0.356438,1.70051015e-03
1.72869471e-03,2.63956357e+02,0.358938,1.71255053e-03
1.74073509e-03,2.64898745e+02,0.361437,1.72459090e-03
1.75277546e-03,2.65817284e+02,0.363937,1.73663127e-03
1.76481583e-03,2.66712769e+02,0.366437,1.74867164e-03
1.77685620e-03,2.67585764e+02,0.368937,1.76071201e-03
1.78889657e-03,2.68436565e+02,0.371437,1.77275238e-03
