kind,step,phase,item,value,x,y,z,basis,verdict
hotspot,Manufacturing_Cooling,MATRIX,rank5_element17917,0.337058,0.20784,-0.0168423,-0.00737244,DMODE 11 = matrix_tension,initiated
hotspot,Manufacturing_Cooling,MATRIX,rank6_element17931,0.336937,0.20784,-0.0168423,0.41261,DMODE 11 = matrix_tension,initiated
hotspot,Manufacturing_Cooling,MATRIX,rank7_element10224,0.336475,-0.153613,1.7651,-0.00148257,DMODE 11 = matrix_tension,initiated
hotspot,Manufacturing_Cooling,MATRIX,rank8_element12528,0.336243,1.7569,2.06783,-0.00281042,DMODE 11 = matrix_tension,initiated
hotspot,Manufacturing_Cooling,MATRIX,rank9_element10977,0.335111,2.04377,1.60645,0.38958,DMODE 11 = matrix_tension,initiated
hotspot,Manufacturing_Cooling,MATRIX,rank10_element13093,0.334099,0.0264539,-0.0541582,0.409245,DMODE 11 = matrix_tension,initiated
hotspot,Manufacturing_Cooling,MATRIX,rank11_element13328,0.333131,0.0137123,1.50937,-0.00668832,DMODE 11 = matrix_tension,initiated
hotspot,Manufacturing_Cooling,MATRIX,rank12_element10699,0.333129,2.00841,-0.0784824,0.00386397,DMODE 11 = matrix_tension,initiated
hotspot,Manufacturing_Cooling,MATRIX,rank13_element20220,0.333086,1.94925,1.64531,0.398667,DMODE 11 = matrix_tension,initiated
hotspot,Manufacturing_Cooling,MATRIX,rank14_element14377,0.332294,-0.0479369,1.43495,0.392397,DMODE 11 = matrix_tension,initiated
hotspot,Manufacturing_Cooling,MATRIX,rank15_element15236,0.332045,2.01189,-0.0338714,0.00346345,DMODE 11 = matrix_tension,initiated
hotspot,Manufacturing_Cooling,MATRIX,rank16_element13264,0.331973,-0.00431806,1.46903,-0.0132609,DMODE 11 = matrix_tension,initiated
hotspot,Manufacturing_Cooling,MATRIX,rank17_element14604,0.331473,0.257994,-0.00303742,0.41261,DMODE 11 = matrix_tension,initiated
hotspot,Manufacturing_Cooling,MATRIX,rank18_element10233,0.330699,-0.153613,1.7651,0.402037,DMODE 11 = matrix_tension,initiated
hotspot,Manufacturing_Cooling,MATRIX,rank19_element13595,0.330678,2.04698,-0.00526472,0.00642208,DMODE 11 = matrix_tension,initiated
hotspot,Manufacturing_Cooling,MATRIX,rank20_element22366,0.330234,1.79035,-0.095961,0.408171,DMODE 11 = matrix_tension,initiated
hotspot,Manufacturing_Cooling,MATRIX,rank21_element10366,0.328904,-0.165502,1.82182,0.407894,DMODE 11 = matrix_tension,initiated
hotspot,Manufacturing_Cooling,MATRIX,rank22_element13341,0.328889,0.0137123,1.50937,0.405669,DMODE 11 = matrix_tension,initiated
hotspot,Manufacturing_Cooling,MATRIX,rank23_element20523,0.328834,1.8737,2.00581,-0.00394789,DMODE 11 = matrix_tension,initiated
hotspot,Manufacturing_Cooling,MATRIX,rank24_element14590,0.328105,0.257994,-0.00303742,-0.0131235,DMODE 11 = matrix_tension,initiated
hotspot,Manufacturing_Cooling,MATRIX,rank25_element10356,0.327907,-0.165502,1.82182,-0.000387576,DMODE 11 = matrix_tension,initiated
